Poupança
Sigla;Código;Município;2020;2021;2022;2023;2024;
AL;2706406;Pão de Açúcar;21433,0346614142;9015,3974493509;10413,5871496837;10646,1833756785;12662,6371445754;
AL;2706422;Pariconha;;;;;;
AL;2706448;Paripueira;;;;;;
AL;2706505;Passo de Camaragibe;;;;;;
AL;2706604;Paulo Jacinto;;;;;;
AL;2706703;Penedo;109280,195952834;92540,7373409421;88178,6337192405;88273,6717853329;94104,6103791444;
AL;2706802;Piaçabuçu;;;;;;
AL;2706901;Pilar;36604,3103657533;24851,422239164;26223,3429890618;24883,4541457076;26888,9346503502;
AL;2707008;Pindoba;;;;;;
AL;2707107;Piranhas;7798,1623494059;6315,6684061107;7839,1121341562;8322,33921010508;9780,87151570284;
AL;2707206;Poço das Trincheiras;;;;;;
AL;2707305;Porto Calvo;61519,1931631707;42695,3762583254;43087,1859845254;42955,3844535715;44164,5443594236;
AL;2707404;Porto de Pedras;;;;;;
AL;2707503;Porto Real do Colégio;;;;;;
AL;2707602;Quebrangulo;;;;;;
AL;2707701;Rio Largo;72230,708567148;60392,891267396;64830,3055782269;63740,1146885416;66124,2339742797;
AL;2707800;Roteiro;;;;;;
AL;2707909;Santa Luzia do Norte;;;;;;
AL;2708006;Santana do Ipanema;109159,972927498;91242,2386160417;91062,8031285819;88351,3967017822;93581,5467934376;
AL;2708105;Santana do Mundaú;;;;;;
AL;2708204;São Brás;;;;;;
AL;2708303;São José da Laje;24168,7025606002;23032,8150633128;21241,1496602962;21636,7891204667;22882,7457818881;
AL;2708402;São José da Tapera;22666,7092156756;18873,7283861817;20821,7886713525;21221,6211317189;23445,6250670024;
AL;2708501;São Luís do Quitunde;16392,3864698595;23647,2000703867;25120,7283011887;22024,1748468646;25327,2792546235;
AL;2708600;São Miguel dos Campos;84608,2705917832;69600,7249112435;68174,8033274181;64767,5473163454;69392,4458656941;
AL;2708709;São Miguel dos Milagres;;;;;;
AL;2708808;São Sebastião;44771,6960172876;40982,5698080293;45879,2843004531;49476,1819416496;53681,1188843126;
AL;2708907;Satuba;;;;;;
AL;2708956;Senador Rui Palmeira;;;;;;
AL;2709004;Tanque d'Arca;;;;;;
AL;2709103;Taquarana;13788,0256777765;11420,6707925787;12632,8688623347;12949,195955281;14086,5486550052;
AL;2709152;Teotônio Vilela;33534,0197162023;35072,3916500366;35434,2772682942;34153,8983229668;38306,3700655028;
AL;2709202;Traipu;;;;;;
AL;2709301;União dos Palmares;97988,2486016104;81789,6575575234;86765,9566699557;80892,7894248572;85018,6504426239;
AL;2709400;Viçosa;55961,7066506127;50387,8820627223;52568,7133968016;49833,5693665225;54275,0455915411;
AM;1300029;Alvarães;;;;;;
AM;1300060;Amaturá;;;;;;
AM;1300086;Anamã;;;;;;
AM;1300102;Anori;;;;;;
AM;1300144;Apuí;8240,6211201873;7713,1497212966;5522,8637401591;4590,45973274917;4300,56428039541;
AM;1300201;Atalaia do Norte;;;;;;
AM;1300300;Autazes;10045,7538638182;10004,2776918631;10409,9249751378;11962,9522179722;14118,1475411;
AM;1300409;Barcelos;4578,0582290356;4848,8582485737;4259,7202344034;4188,26088839779;4772,63714302836;
AM;1300508;Barreirinha;2613,3862658244;3192,8790677457;2509,0034728122;1908,35113048905;2160,84700835965;
AM;1300607;Benjamin Constant;6974,9888003695;6513,376325376;5721,4975498223;5854,84500694454;7196,518289686;
AM;1300631;Beruri;1839,0652108619;2113,9758455437;2094,3739958803;2064,47926762961;2251,82399077218;
AM;1300680;Boa Vista do Ramos;;;;;;
AM;1300706;Boca do Acre;20179,5038538363;17878,8989167512;13885,6020790855;13211,2936956317;11707,4463835815;
AM;1300805;Borba;8777,6091028799;9114,708841379;8154,4682410673;8191,83821677371;9284,71149419802;
AM;1300839;Caapiranga;;;;;;
AM;1300904;Canutama;4240,0982222863;4101,6183863984;4191,756925375;3859,9240198823;4526,80237848314;
AM;1301001;Carauari;15276,8082579438;15566,5670240117;15317,3858786983;16178,9994573532;17713,3578779354;
AM;1301100;Careiro;11232,7421854632;10214,6392666618;10959,2441564535;16765,1377304905;23166,3124997994;
AM;1301159;Careiro da Várzea;;;;;;
AM;1301209;Coari;28350,6621248981;27498,7036142449;26492,9678554067;31696,3313211287;29044,2961677131;
AM;1301308;Codajás;7345,3366586893;6366,9472646175;6177,2418272208;6677,09775667488;6929,33793005873;
AM;1301407;Eirunepé;12846,8138348134;11571,8940101569;11690,9313169762;11338,1395637357;12776,2781148867;
AM;1301506;Envira;3856,4636085514;3113,9803890864;3277,8457349197;3476,85425465243;5184,88404181076;
AM;1301605;Fonte Boa;5020,4119849497;5679,7734164521;5752,6855383298;6134,3930336396;6450,81687787987;
AM;1301654;Guajará;;;;;;
AM;1301704;Humaitá;34102,345401793;30831,1599692608;25061,9160531673;20653,4891990361;20062,9686434762;
AM;1301803;Ipixuna;2234,1511945431;2350,504164206;2222,1764494246;2683,64756378309;3500,05207574048;
AM;1301852;Iranduba;12376,9472391058;13522,5889949696;11210,9672460306;11189,4359755578;15739,1522782369;
AM;1301902;Itacoatiara;56376,2019147834;49676,1087274143;52522,2365952525;47232,2174022029;47481,0487394348;
AM;1301951;Itamarati;;;;;;
AM;1302009;Itapiranga;;;;;;
AM;1302108;Japurá;;;;;;
AM;1302207;Juruá;;;;;;
AM;1302306;Jutaí;4339,6565381416;4321,5952801671;3978,6892476;3184,79746365516;4057,47107964002;
AM;1302405;Lábrea;17588,0751940991;16998,9723905675;16906,1833336725;17378,0115758879;19058,2288438152;
AM;1302504;Manacapuru;51165,4528576528;45754,1568044361;43046,2164459404;43413,1478226228;48809,564859258;
AM;1302553;Manaquiri;1939,5570508387;2300,4121189053;1786,9364116612;1559,0649233674;2420,61884330888;
AM;1302603;Manaus;3051045,86456054;2751551,60527638;2474572,18289527;2221061,65191471;2226869,06393636;
AM;1302702;Manicoré;15521,6728487332;14599,1133792042;13482,9851472144;16516,5774545461;18801,0733115516;
AM;1302801;Maraã;;;;;;
AM;1302900;Maués;18318,9723375977;16164,7360408227;16936,203101626;15932,0214824432;15325,2706826545;
AM;1303007;Nhamundá;3800,2347435508;3618,6664274672;3256,1680243011;3665,68859506248;3824,36370986682;
AM;1303106;Nova Olinda do Norte;3347,4496867275;3293,851050707;3381,7683602241;3542,59129866464;3941,18308222127;
AM;1303205;Novo Airão;3609,5572965489;3801,7208754133;3256,0135741679;3120,4047622273;3493,53889222541;
AM;1303304;Novo Aripuanã;3651,4487297491;4062,3071532762;2703,9917342894;2452,61689366637;2797,37982273805;
AM;1303403;Parintins;61126,071854619;57563,1997820777;51390,776485481;46055,6314365732;46626,0038373385;
AM;1303502;Pauini;2411,3951819435;2352,4381248877;2398,6158187036;2599,2855691185;2799,33633816105;
AM;1303536;Presidente Figueiredo;19026,9799340263;16203,1949478139;15897,7420986746;14487,8303875907;15981,8318810067;
AM;1303569;Rio Preto da Eva;6963,9506296245;6754,3226213428;7231,8649646467;6086,08583280589;6783,32602407952;
AM;1303601;Santa Isabel do Rio Negro;;;;;;
AM;1303700;Santo Antônio do Içá;5835,9136438351;7732,9076738467;4846,0195029887;5893,34766545076;5664,00776533997;
AM;1303809;São Gabriel da Cachoeira;16824,9173778391;16213,3124711745;15037,6850006906;16052,390842794;17793,2295574849;
AM;1303908;São Paulo de Olivença;6753,8549310138;6879,7230576872;5675,425906413;6058,73287693814;7473,94406226924;
AM;1303957;São Sebastião do Uatumã;;;;;;
AM;1304005;Silves;;;;;;
AM;1304062;Tabatinga;37526,1936683006;32355,2830184359;31925,5526487399;27372,9083975925;32986,7082268057;
AM;1304104;Tapauá;3249,3399427848;3706,2503994182;3388,7216789677;3412,50693705268;3679,26408287285;
AM;1304203;Tefé;44353,7004334462;42863,005451035;42123,8323749496;41978,4055590125;43056,9683444448;
AM;1304237;Tonantins;;;;;;
AM;1304260;Uarini;;;;;;
AM;1304302;Urucará;3385,6539898902;3189,3214707934;2700,3685004286;2608,83252755665;3240,30781399028;
AM;1304401;Urucurituba;;;;;;
AP;1600055;Serra do Navio;;;;;;
AP;1600105;Amapá;3820,0566955287;2509,2405489794;2562,895630897;2349,52691479368;4448,14391969122;
AP;1600154;Pedra Branca do Amaparí;2986,0724200075;2101,6443588647;2382,4720607321;2262,15241521379;2219,32030984608;
AP;1600204;Calçoene;;;;;;
AP;1600212;Cutias;;;;;;
AP;1600238;Ferreira Gomes;;;;;;
AP;1600253;Itaubal;;;;;;
AP;1600279;Laranjal do Jari;36063,9101914445;30105,2382096906;32910,7204801001;29398,719825936;31780,6525619568;
AP;1600303;Macapá;563924,715145986;486249,451437518;469767,002318463;443013,216048577;454763,983889724;
AP;1600402;Mazagão;1921,4037270529;1819,4775055358;1873,3939209143;1804,98435115114;;
AP;1600501;Oiapoque;22449,1379361129;17806,4611449555;15417,2245449572;17368,6894922738;21454,7022306314;
AP;1600535;Porto Grande;5803,2983480043;4767,3438430836;5041,8145804591;5300,11970240684;5451,99349892622;
AP;1600550;Pracuúba;;;;;;
AP;1600600;Santana;82230,0564139001;70219,5629551737;74103,7873485032;74841,7350010012;76427,1961356662;
AP;1600709;Tartarugalzinho;;;;;;
AP;1600808;Vitória do Jari;;;;;;
BA;2900108;Abaíra;;;;;;
BA;2900207;Abaré;6240,7633716059;4704,1328925216;4701,4248634351;4710,18308906001;12015,5650657198;
BA;2900306;Acajutiba;16632,757585299;15204,4866601323;15808,2900944881;16702,2463751605;20706,9997923809;
BA;2900355;Adustina;;;;;;
BA;2900405;Água Fria;1061,4702250632;1023,7436503331;;;;
BA;2900504;Érico Cardoso;;;;;;
BA;2900603;Aiquara;;;;;;
BA;2900702;Alagoinhas;338727,804745072;306896,511375752;292739,444053845;270986,306190459;284524,138162417;
BA;2900801;Alcobaça;16463,5416942578;15728,0191027164;17461,72471143;15324,458771526;15786,1173142515;
BA;2900900;Almadina;;;;;;
BA;2901007;Amargosa;101470,269299732;88758,4043976741;90499,7720132047;91097,8133707637;105089,378972114;
BA;2901106;Amélia Rodrigues;28473,7685735235;28448,9434928964;25002,8859123234;24880,8905727137;27738,5318761228;
BA;2901155;América Dourada;4826,7476829296;;;;;
BA;2901205;Anagé;19139,5532331528;17927,0167302634;18367,6001196022;18636,235279905;21712,9134225152;
BA;2901304;Andaraí;12689,9480087884;8758,4322546557;8993,1075246908;9059,75691031375;10278,5165509272;
BA;2901353;Andorinha;;;;;;
BA;2901403;Angical;10420,3899171695;9895,2699648737;9027,535028173;9304,20810992827;10414,3027390926;
BA;2901502;Anguera;;;;;;
BA;2901601;Antas;;;;;;
BA;2901700;Antônio Cardoso;;;;;;
BA;2901809;Antônio Gonçalves;;;;;;
BA;2901908;Aporá;;;;;;
BA;2901957;Apuarema;;;;;;
BA;2902005;Aracatu;;;;;;
BA;2902054;Araças;;;;;;
BA;2902104;Araci;49261,456268344;45682,9030031802;45364,6582068429;45699,7976923025;45042,7113584256;
BA;2902203;Aramari;;;;;;
BA;2902252;Arataca;;;;;;
BA;2902302;Aratuípe;;;;;;
BA;2902401;Aurelino Leal;;;;;;
BA;2902500;Baianópolis;13296,1223190465;13795,80097548;13522,1187856327;12816,4584796088;14298,1808356608;
BA;2902609;Baixa Grande;42864,4524105005;38384,655124549;38244,3281151411;39899,4991404001;42354,4426233001;
BA;2902658;Banzaê;;;;;;
BA;2902708;Barra;42027,3134672586;35470,3265647418;36943,3145743229;36443,8354537105;39521,0994709627;
BA;2902807;Barra da Estiva;90249,8544876304;75356,6585710927;74067,3791205085;76629,4898519988;99145,3062851407;
BA;2902906;Barra do Choça;23172,8138562776;20932,5839834078;21523,476190568;21548,1843511678;24966,7202869477;
BA;2903003;Barra do Mendes;30241,9471658536;27207,9064258405;27008,9516225672;27315,0092633558;30222,3768526261;
BA;2903102;Barra do Rocha;;;;;;
BA;2903201;Barreiras;295436,35344093;260177,335670247;241043,457478842;220897,728773493;230112,565845365;
BA;2903235;Barro Alto;;;;;;
BA;2903276;Barrocas;;;;;;
BA;2903300;Governador Lomanto Júnior;;;;;;
BA;2903409;Belmonte;13788,6784586347;14540,5587161434;13899,553345223;11992,3372245225;12809,897722568;
BA;2903508;Belo Campo;36428,6278808262;33697,9075057205;34003,5916835094;33739,9119492034;35426,7275729561;
BA;2903607;Biritinga;;;;;;
BA;2903706;Boa Nova;;;;;;
BA;2903805;Boa Vista do Tupim;;;;;;
BA;2903904;Bom Jesus da Lapa;124600,779579034;103049,662221412;107460,545374544;105422,176115821;117947,982781265;
BA;2903953;Bom Jesus da Serra;;;;;;
BA;2904001;Boninal;;;;;;
BA;2904050;Bonito;3829,5528891777;3288,6807143719;3595,0219907091;3276,30884227047;4420,4249766035;
BA;2904100;Boquira;34003,8963384551;29305,3545353769;28948,2253070872;30210,4852316005;33150,559992561;
BA;2904209;Botuporã;42144,3807694479;37184,1701144824;37960,0939288335;39064,3017780723;43703,7568132531;
BA;2904308;Brejões;;;;;;
BA;2904407;Brejolândia;;;;;;
BA;2904506;Brotas de Macaúbas;;;;;;
BA;2904605;Brumado;239988,071336566;205229,910570626;206221,885639013;203671,13154957;224887,641579526;
BA;2904704;Buerarema;10747,560833663;9431,98688828;9016,6473876233;8354,02202849361;11059,3462183048;
BA;2904753;Buritirama;3671,563034674;3309,8249405514;3769,3463119886;3826,70346656077;4315,83589363274;
BA;2904803;Caatiba;2384,6528029851;2159,193191811;;;;
BA;2904852;Cabaceiras do Paraguaçu;;;;;;
BA;2904902;Cachoeira;56242,1855296479;48276,9762968497;46215,5432421022;46006,7722702623;50360,0846216028;
BA;2905008;Caculé;65633,8703880488;46529,5679640381;46103,9851797606;47285,7784966524;60911,2055743104;
BA;2905107;Caém;;;;;;
BA;2905156;Caetanos;;;;;;
BA;2905206;Caetité;181453,805984121;193543,973050019;193871,86791236;194054,216597986;214334,275380611;
BA;2905305;Cafarnaum;24079,4641982319;21841,459750046;24582,3829549729;24592,8627208364;27576,6535636127;
BA;2905404;Cairu;;;;;;
BA;2905503;Caldeirão Grande;;;;;;
BA;2905602;Camacan;54272,4338020541;48159,6589823061;47213,956594374;49551,8216551852;56164,164238044;
BA;2905701;Camaçari;530558,935579671;558257,190351359;430827,89843695;390552,658987796;386730,030150234;
BA;2905800;Camamu;39564,7132471297;22285,9997059809;21784,253208207;20797,3559341809;26808,4327262513;
BA;2905909;Campo Alegre de Lourdes;14072,8956558588;;;;;
BA;2906006;Campo Formoso;87584,0731910292;70928,5059423404;71369,9604863629;67838,887662877;75083,239024383;
BA;2906105;Canápolis;;;;;;
BA;2906204;Canarana;;;;;;
BA;2906303;Canavieiras;27494,0146911413;25198,0531851429;24333,223387578;24704,2002905276;25833,5665182313;
BA;2906402;Candeal;;;;;;
BA;2906501;Candeias;184446,702787361;180806,215337198;174908,690140251;167460,111045489;173329,146947264;
BA;2906600;Candiba;23939,1252848326;22225,0913151722;21496,8766398697;21308,5822704859;23127,8951554859;
BA;2906709;Cândido Sales;26934,7303106792;24366,8930741796;25630,7777704559;25410,6465945183;28818,0895818529;
BA;2906808;Cansanção;36985,2647256653;33246,6110056205;35347,082948774;35503,1840648145;43731,7239151322;
BA;2906824;Canudos;;;;;;
BA;2906857;Capela do Alto Alegre;;;;;;
BA;2906873;Capim Grosso;83770,6514298016;72751,1842902;73802,7710395094;73067,6770711032;81694,1104446081;
BA;2906899;Caraíbas;;;;;;
BA;2906907;Caravelas;9177,9732709943;;;;;
BA;2907004;Cardeal da Silva;;;;;;
BA;2907103;Carinhanha;42938,6604540296;36089,4507704191;37816,8442742924;37499,6759047384;45378,7892643861;
BA;2907202;Casa Nova;75223,3605116021;61543,3335050455;64206,4014212666;63425,0855032486;71698,5894524694;
BA;2907301;Castro Alves;72651,9184502678;61284,4840963299;64359,5656367648;63978,1957976865;72356,643542598;
BA;2907400;Catolândia;;;;;;
BA;2907509;Catu;101702,687781757;82133,5225891319;79504,9697607927;74959,364977132;62495,7191520377;
BA;2907558;Caturama;;;;;;
BA;2907608;Central;;;;;;
BA;2907707;Chorrochó;9345,2376797286;8735,8055779684;8644,9432342491;;;
BA;2907806;Cícero Dantas;87414,7116512274;76136,3313613493;80056,9355960903;80824,6319100118;88206,3485928541;
BA;2907905;Cipó;14399,6412357543;12413,5871475474;13146,3507998591;13883,9883328528;16811,8600135208;
BA;2908002;Coaraci;31174,5293197508;33867,5767853227;32507,2311018677;34280,2370877372;29991,5103961288;
BA;2908101;Cocos;12626,5596628633;;;;;
BA;2908200;Conceição da Feira;;;;;;
BA;2908309;Conceição do Almeida;9916,1876815747;7716,3785165063;7222,3039326063;7237,13010705956;8078,30919484693;
BA;2908408;Conceição do Coité;155621,742861528;129955,217441419;124682,070376446;117627,11408761;127389,597595061;
BA;2908507;Conceição do Jacuípe;63933,8131986506;56319,8828965994;57352,2663528671;57585,6996182975;62146,1303785496;
BA;2908606;Conde;10714,398827267;10388,4057760474;9925,648989001;9155,43092635342;10867,9567047697;
BA;2908705;Condeúba;65074,9163558626;57042,6682476166;54546,730437817;54994,11948724;61393,8153380034;
BA;2908804;Contendas do Sincorá;;;;;;
BA;2908903;Coração de Maria;14995,4090476097;12942,2965593547;13031,431150058;13325,7508924272;15329,2806136;
BA;2909000;Cordeiros;;;;;;
BA;2909109;Coribe;11279,5629848693;8745,9842186558;7909,0382287297;8224,58407978489;9476,95183787475;
BA;2909208;Coronel João Sá;;;;;;
BA;2909307;Correntina;49840,6845024641;38659,6764621989;38977,7999841432;42367,5616635705;53571,535113288;
BA;2909406;Cotegipe;;;;;;
BA;2909505;Cravolândia;;;;;;
BA;2909604;Crisópolis;10620,8701590157;10474,9886556612;11242,467197555;12367,6901035185;15505,8002947979;
BA;2909703;Cristópolis;;;;;;
BA;2909802;Cruz das Almas;190588,623421805;163809,852040573;157072,765571312;156651,972821548;167379,323278777;
BA;2909901;Curaçá;14184,577647896;13080,6666609765;14248,0099095712;13873,3824184252;16147,6807341779;
BA;2910008;Dário Meira;4040,4016340978;4300,0947731369;3875,5095580637;3671,78760915335;4628,7720075455;
BA;2910057;Dias d'Ávila;80111,4062696569;70030,9657815991;61163,8724964797;55096,6624069954;56497,7999463756;
BA;2910107;Dom Basílio;1855,1013504899;1998,0523850729;;;;
BA;2910206;Dom Macedo Costa;;;;;;
BA;2910305;Elísio Medrado;;;;;;
BA;2910404;Encruzilhada;6602,203963874;6315,3822443636;5665,750677532;6130,93813861594;7928,37401654779;
BA;2910503;Entre Rios;47069,6930848407;43413,755950259;47788,1838130314;44154,8667649201;47367,8804525355;
BA;2910602;Esplanada;59181,0112859384;48863,2189069383;48915,9983746169;49771,9945510714;58790,7477878982;
BA;2910701;Euclides da Cunha;106819,701834892;88546,7285634607;89724,731181588;91455,8140906113;99618,5017708773;
BA;2910727;Eunápolis;197732,679298178;170191,019269889;154261,785835987;143761,371068142;155781,523690675;
BA;2910750;Fátima;;;;;;
BA;2910776;Feira da Mata;;;;;;
BA;2910800;Feira de Santana;1286267,39769118;1100721,4028834;1009391,37240144;959708,099210509;1002147,13114597;
BA;2910859;Filadélfia;;;;;;
BA;2910909;Firmino Alves;;;;;;
BA;2911006;Floresta Azul;1732,6160199486;3043,2150526671;3310,3905219059;;;
BA;2911105;Formosa do Rio Preto;25452,3087818176;21195,7172903312;22365,9517879811;23150,0985589581;24244,2552038717;
BA;2911204;Gandu;54941,3109591793;55335,9493673351;53702,1975471286;61316,0049718852;92329,0933126685;
BA;2911253;Gavião;;;;;;
BA;2911303;Gentio do Ouro;;;;;;
BA;2911402;Glória;;;;;;
BA;2911501;Gongogi;;;;;;
BA;2911600;Governador Mangabeira;16850,7140952793;;;;;
BA;2911659;Guajeru;;;;;;
BA;2911709;Guanambi;262316,071720886;224540,721651319;216060,35212196;209961,616331515;230706,059259466;
BA;2911808;Guaratinga;;;;;;
BA;2911857;Heliópolis;;;;;;
BA;2911907;Iaçu;15866,3807203444;13419,5020682348;13498,1278233028;13073,5353784341;14368,2285782968;
BA;2912004;Ibiassucê;21857,8873466879;;;;;
BA;2912103;Ibicaraí;51979,7851047501;33992,9611132245;34611,3932108623;25102,6825673329;28547,3640966353;
BA;2912202;Ibicoara;17916,7785888564;15264,8720003303;16056,6314699594;19561,2762673805;25401,6678065933;
BA;2912301;Ibicuí;;;;;;
BA;2912400;Ibipeba;16019,9990011782;13898,0360498615;14526,8173394997;14938,5613075998;15430,7499860513;
BA;2912509;Ibipitanga;;;;;;
BA;2912608;Ibiquera;;;;;;
BA;2912707;Ibirapitanga;;;;;;
BA;2912806;Ibirapuã;;;;;;
BA;2912905;Ibirataia;8254,9158072428;7745,8370680172;7874,2379447561;7392,73530801844;10718,8369053563;
BA;2913002;Ibitiara;;;;;;
BA;2913101;Ibititá;;;;;;
BA;2913200;Ibotirama;53972,0485369769;44617,831247941;45045,6162984533;42349,4490186535;61556,4972123139;
BA;2913309;Ichu;;;;;;
BA;2913408;Igaporã;;;;;;
BA;2913457;Igrapiúna;;;;;;
BA;2913507;Iguaí;23184,3486048622;19484,7111953978;21347,7001255437;20668,93605513;24143,0615634108;
BA;2913606;Ilhéus;334970,339548988;294855,713863825;266335,063631908;249420,033726174;267715,476639985;
BA;2913705;Inhambupe;42952,8369333953;39677,5196847196;43175,4247019717;40531,3687754778;47310,7645402473;
BA;2913804;Ipecaetá;8279,6808459621;6969,4480311867;7245,6399038616;;;
BA;2913903;Ipiaú;101983,105973809;85541,0149129985;83134,3107461085;77597,4737535968;89049,8915319242;
BA;2914000;Ipirá;119500,881893834;100244,851647206;99995,6357231119;99465,2011410707;105369,91657716;
